created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2021-09-17 16:37:40 UTC,1,13.3,53.7,71,,,,
2021-09-17 16:37:56 UTC,2,13.4,56.8,72,,,,
2021-09-17 16:38:38 UTC,3,13.0,55.7,72,,,,
2021-09-17 16:39:41 UTC,4,12.7,53.8,72,,,,
2021-09-17 16:51:20 UTC,5,9.9,57.4,72,,,,
2021-09-17 16:51:38 UTC,6,9.9,56.0,72,,,,
2021-09-17 16:51:54 UTC,7,9.8,54.9,72,,,,
2021-09-17 16:52:16 UTC,8,9.7,53.7,72,,,,
2021-09-17 17:04:54 UTC,9,7.5,36.5,72,,,,
2021-09-17 17:05:14 UTC,10,7.4,36.3,72,,,,
2021-09-17 17:05:30 UTC,11,7.4,36.1,72,,,,
2021-09-17 17:19:08 UTC,12,6.9,48.1,72,,,,
2021-09-17 17:19:24 UTC,13,7.0,48.4,72,,,,
2021-09-17 17:19:40 UTC,14,6.9,48.4,72,,,,
2021-09-17 17:19:56 UTC,15,6.9,48.4,72,,,,
2021-09-17 17:33:04 UTC,16,7.2,76.7,72,,,,
2021-09-17 17:33:26 UTC,17,7.1,75.4,72,,,,
2021-09-17 17:33:42 UTC,18,7.1,74.7,72,,,,
2021-09-17 17:34:06 UTC,19,7.2,74.7,72,,,,
2021-09-17 18:00:23 UTC,20,6.2,31.3,72,,,,
2021-09-17 18:14:52 UTC,21,6.2,42.5,72,,,,
2021-09-17 18:28:26 UTC,22,6.5,47.7,72,,,,
2021-09-17 18:42:16 UTC,23,6.8,50.4,72,,,,
2021-09-17 19:08:46 UTC,24,6.1,29.5,72,,,,
2021-09-17 19:09:10 UTC,25,6.1,29.3,72,,,,
2021-09-17 22:44:11 UTC,26,22.4,73.7,72,,,,
2021-09-17 22:45:41 UTC,27,22.5,73.6,71,,,,
2021-09-17 22:48:44 UTC,28,22.7,73.5,71,,,,
2021-09-17 22:49:00 UTC,29,22.7,72.8,71,,,,
2021-09-17 22:49:16 UTC,30,22.8,73.7,71,,,,
2021-09-17 22:49:36 UTC,31,22.7,73.0,71,,,,
2021-09-17 22:51:27 UTC,32,23.0,73.0,71,,,,
2021-09-17 23:02:26 UTC,33,22.6,72.7,71,,,,
2021-09-17 23:02:42 UTC,34,22.5,72.7,71,,,,
2021-09-17 23:02:58 UTC,35,22.5,72.7,71,,,,
2021-09-17 23:03:42 UTC,36,22.7,72.8,71,,,,
2021-09-17 23:13:00 UTC,37,22.6,72.9,71,,,,
2021-09-17 23:16:40 UTC,38,22.5,72.8,71,,,,
2021-09-17 23:16:56 UTC,39,22.5,72.8,71,,,,
2021-09-17 23:17:12 UTC,40,22.5,72.9,71,,,,
2021-09-17 23:17:34 UTC,41,22.5,73.0,71,,,,
2021-09-17 23:29:42 UTC,42,22.5,73.5,71,,,,
2021-09-17 23:29:58 UTC,43,22.5,73.5,71,,,,
2021-09-17 23:30:14 UTC,44,22.4,73.5,71,,,,
2021-09-17 23:43:34 UTC,45,22.4,74.1,71,,,,
2021-09-17 23:43:50 UTC,46,22.3,74.1,71,,,,
2021-09-17 23:44:06 UTC,47,22.3,74.1,71,,,,
2021-09-17 23:54:47 UTC,48,22.4,74.2,71,,,,
2021-09-17 23:57:18 UTC,49,22.4,74.2,71,,,,
2021-09-17 23:57:36 UTC,50,22.5,73.9,71,,,,
2021-09-17 23:57:56 UTC,51,22.4,73.8,71,,,,
2021-09-18 00:07:53 UTC,52,22.5,74.0,71,,,,
2021-09-18 00:11:26 UTC,53,22.5,73.8,71,,,,
2021-09-18 00:11:42 UTC,54,22.5,73.8,71,,,,
2021-09-18 00:12:20 UTC,55,22.4,73.9,71,,,,
2021-09-18 00:26:14 UTC,56,22.6,73.9,71,,,,
2021-09-18 00:26:30 UTC,57,22.6,73.2,71,,,,
2021-09-18 00:26:46 UTC,58,22.6,73.3,71,,,,
2021-09-18 00:39:58 UTC,59,22.8,72.3,71,,,,
2021-09-18 00:40:14 UTC,60,22.7,72.1,71,,,,
2021-09-18 00:40:30 UTC,61,22.7,72.0,71,,,,
2021-09-18 00:40:46 UTC,62,22.8,71.9,71,,,,
2021-09-18 00:53:36 UTC,63,22.8,71.8,71,,,,
2021-09-18 00:53:54 UTC,64,22.8,71.8,71,,,,
2021-09-18 00:54:16 UTC,65,22.9,71.8,71,,,,
2021-09-18 01:13:33 UTC,66,22.9,70.3,71,,,,
2021-09-18 01:13:49 UTC,67,22.9,70.4,71,,,,
2021-09-18 01:14:05 UTC,68,22.9,70.4,71,,,,
2021-09-18 01:14:27 UTC,69,22.9,70.3,71,,,,
2021-09-18 03:07:11 UTC,70,22.6,71.0,71,,,,
