created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2021-09-16 01:21:41 CST,1,17.9,79.7,68,,,,
2021-09-16 01:21:57 CST,2,17.1,79.8,68,,,,
2021-09-16 01:22:13 CST,3,17.2,79.7,68,,,,
2021-09-16 01:22:35 CST,4,17.1,79.8,68,,,,
2021-09-16 01:27:36 CST,5,16.9,80.8,68,,,,
2021-09-16 01:28:01 CST,6,16.9,80.8,68,,,,
2021-09-16 01:28:40 CST,7,17.0,81.1,68,,,,
2021-09-16 01:30:38 CST,8,16.9,81.3,68,,,,
2021-09-16 01:31:05 CST,9,16.9,81.3,68,,,,
2021-09-16 01:31:25 CST,10,16.8,81.2,68,,,,
2021-09-16 01:34:06 CST,11,16.8,81.4,68,,,,
2021-09-16 01:34:26 CST,12,16.8,81.5,68,,,,
2021-09-16 01:35:22 CST,13,16.9,81.5,68,,,,
2021-09-16 01:42:13 CST,14,16.6,81.1,68,,,,
2021-09-16 01:42:35 CST,15,16.7,81.1,68,,,,
2021-09-16 01:55:15 CST,16,16.5,80.9,68,,,,
2021-09-16 01:55:31 CST,17,16.5,80.8,68,,,,
2021-09-16 01:55:49 CST,18,16.5,80.8,68,,,,
2021-09-16 01:58:22 CST,19,16.5,81.0,68,,,,
2021-09-16 01:58:39 CST,20,16.5,81.0,68,,,,
2021-09-16 02:01:05 CST,21,16.5,81.0,68,,,,
2021-09-16 02:06:07 CST,22,16.5,81.0,68,,,,
2021-09-16 02:09:15 CST,23,16.4,80.6,68,,,,
2021-09-16 02:09:31 CST,24,16.4,80.6,68,,,,
2021-09-16 02:10:03 CST,25,16.3,80.6,68,,,,
2021-09-16 02:10:21 CST,26,16.4,80.5,68,,,,
2021-09-16 02:22:25 CST,27,16.4,79.3,68,,,,
2021-09-16 02:22:41 CST,28,16.5,79.2,68,,,,
2021-09-16 02:23:07 CST,29,16.6,79.3,68,,,,
2021-09-16 02:23:23 CST,30,16.5,79.3,68,,,,
2021-09-16 02:36:31 CST,31,16.6,79.3,68,,,,
2021-09-16 02:36:49 CST,32,16.5,79.7,68,,,,
2021-09-16 02:37:05 CST,33,16.6,79.9,68,,,,
2021-09-16 02:39:53 CST,34,16.5,79.3,68,,,,
2021-09-16 02:50:11 CST,35,16.4,81.1,68,,,,
2021-09-16 02:50:29 CST,36,16.4,81.1,68,,,,
2021-09-16 02:50:45 CST,37,16.4,81.2,68,,,,
2021-09-16 03:02:59 CST,38,16.2,80.9,68,,,,
2021-09-16 03:03:15 CST,39,16.2,80.8,68,,,,
2021-09-16 03:03:31 CST,40,16.2,80.9,68,,,,
2021-09-16 03:16:51 CST,41,16.1,82.5,68,,,,
2021-09-16 03:17:13 CST,42,16.0,82.5,68,,,,
2021-09-16 03:17:29 CST,43,16.0,82.5,68,,,,
2021-09-16 03:30:13 CST,44,16.0,82.4,68,,,,
2021-09-16 03:30:29 CST,45,16.0,82.3,68,,,,
2021-09-16 03:30:45 CST,46,16.0,82.4,68,,,,
2021-09-16 03:44:25 CST,47,16.1,82.9,68,,,,
