created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2021-09-16 11:41:43 CST,1,31.3,43.8,,,,,
2021-09-16 11:42:03 CST,2,30.7,44.4,,,,,
2021-09-16 11:42:39 CST,3,30.5,45.0,,,,,
2021-09-16 11:42:57 CST,4,30.4,44.7,,,,,
2021-09-16 11:44:42 CST,5,29.6,46.7,,,,,
2021-09-16 11:46:24 CST,6,28.7,47.7,,,,,
2021-09-16 11:47:56 CST,7,28.6,48.8,,,,,
2021-09-16 11:49:29 CST,8,28.5,48.8,,,,,
2021-09-16 11:51:11 CST,9,28.3,49.1,,,,,
2021-09-16 11:52:21 CST,10,28.7,49.9,,,,,
2021-09-16 11:53:54 CST,11,28.7,49.2,,,,,
2021-09-16 11:55:25 CST,12,28.4,50.1,,,,,
2021-09-16 11:55:45 CST,13,28.3,49.7,,,,,
2021-09-16 11:57:08 CST,14,28.2,50.1,,,,,
2021-09-16 11:58:40 CST,15,28.4,49.0,,,,,
2021-09-16 11:59:21 CST,16,28.2,49.3,,,,,
2021-09-16 12:00:34 CST,17,28.0,50.8,,,,,
2021-09-16 12:02:17 CST,18,27.6,50.2,,,,,
2021-09-16 12:03:39 CST,19,27.3,51.3,,,,,
2021-09-16 12:05:10 CST,20,27.5,51.1,,,,,
2021-09-16 12:05:31 CST,21,27.5,51.0,,,,,
2021-09-16 12:07:02 CST,22,27.4,51.3,,,,,
2021-09-16 12:08:43 CST,23,27.5,51.5,,,,,
2021-09-16 12:10:15 CST,24,27.8,51.5,,,,,
2021-09-16 12:11:37 CST,25,27.9,50.0,,,,,
2021-09-16 12:11:57 CST,26,27.8,50.1,,,,,
2021-09-16 12:13:30 CST,27,28.0,51.6,,,,,
2021-09-16 12:15:02 CST,28,28.1,52.2,,,,,
2021-09-16 12:16:24 CST,29,28.3,51.5,,,,,
2021-09-16 12:17:56 CST,30,28.4,50.9,,,,,
2021-09-16 12:18:16 CST,31,28.3,50.6,,,,,
2021-09-16 12:19:48 CST,32,28.6,51.6,,,,,
2021-09-16 12:21:11 CST,33,28.5,51.6,,,,,
2021-09-16 12:22:01 CST,34,28.6,51.6,,,,,
2021-09-16 12:23:34 CST,35,28.6,50.4,,,,,
2021-09-16 12:23:53 CST,36,28.7,50.6,,,,,
2021-09-16 12:25:15 CST,37,28.5,51.9,,,,,
2021-09-16 12:26:48 CST,38,28.6,51.7,,,,,
2021-09-16 12:28:21 CST,39,28.5,52.0,,,,,
2021-09-16 12:28:40 CST,40,28.5,51.9,,,,,
2021-09-16 12:30:02 CST,41,28.1,51.9,,,,,
2021-09-16 12:31:35 CST,42,27.7,53.3,,,,,
2021-09-16 12:34:39 CST,43,27.4,54.4,,,,,
2021-09-16 12:34:59 CST,44,27.4,54.7,,,,,
2021-09-16 12:36:21 CST,45,27.4,54.3,,,,,
2021-09-16 12:38:03 CST,46,27.7,54.8,,,,,
2021-09-16 12:39:36 CST,47,27.6,54.4,,,,,
2021-09-16 12:41:08 CST,48,27.4,55.2,,,,,
2021-09-16 12:41:28 CST,49,27.3,54.3,,,,,
2021-09-16 12:42:50 CST,50,27.3,56.0,,,,,
2021-09-16 12:46:05 CST,51,27.5,55.4,,,,,
2021-09-16 12:47:37 CST,52,27.6,55.5,,,,,
2021-09-16 12:49:19 CST,53,27.0,57.6,,,,,
2021-09-16 12:50:41 CST,54,26.5,57.3,,,,,
2021-09-16 12:52:23 CST,55,26.4,57.8,,,,,
2021-09-16 12:54:06 CST,56,26.4,57.8,,,,,
2021-09-16 12:55:48 CST,57,25.5,58.5,,,,,
2021-09-16 12:58:43 CST,58,25.6,58.8,,,,,
2021-09-16 12:59:02 CST,59,25.7,59.3,,,,,
2021-09-16 13:00:25 CST,60,25.6,59.9,,,,,
2021-09-16 13:01:57 CST,61,25.8,59.3,,,,,
2021-09-16 13:03:29 CST,62,25.8,60.4,,,,,
2021-09-16 13:03:49 CST,63,26.0,60.4,,,,,
2021-09-16 13:05:12 CST,64,25.7,60.4,,,,,
2021-09-16 13:06:44 CST,65,25.8,60.0,,,,,
2021-09-16 13:07:34 CST,66,25.8,60.6,,,,,
2021-09-16 13:07:54 CST,67,25.7,59.4,,,,,
2021-09-16 13:09:16 CST,68,25.6,59.7,,,,,
2021-09-16 13:10:49 CST,69,25.8,60.7,,,,,
2021-09-16 13:12:21 CST,70,25.6,59.9,,,,,
2021-09-16 13:14:02 CST,71,26.0,59.8,,,,,
2021-09-16 13:15:46 CST,72,25.7,64.1,,,,,
2021-09-16 13:17:07 CST,73,26.0,60.7,,,,,
2021-09-16 13:18:50 CST,74,26.2,59.2,,,,,
2021-09-16 13:20:22 CST,75,26.2,58.3,,,,,
2021-09-16 13:22:05 CST,76,26.2,58.4,,,,,
2021-09-16 13:23:28 CST,77,26.5,56.7,,,,,
2021-09-16 13:24:12 CST,78,26.8,56.4,,,,,
2021-09-16 13:24:58 CST,79,26.9,55.6,,,,,
2021-09-16 13:26:23 CST,80,26.9,55.3,,,,,
2021-09-16 13:28:06 CST,81,27.0,54.4,,,,,
2021-09-16 13:29:37 CST,82,26.9,54.2,,,,,
2021-09-16 13:31:20 CST,83,27.2,54.8,,,,,
2021-09-16 13:32:52 CST,84,27.5,54.8,,,,,
